bay_name,match_key,level,grid_row,grid_col
T1-AU-36,T1AU36,Level 1,3,7
T1-A-35,T1A35,Level 1,3,146
T1-AU-34,T1AU34,Level 1,4,7
T1-AU-33,T1AU33,Level 1,4,8
T1-AT-34,T1AT34,Level 1,4,10
T1-AU-33,T1AU33,Level 1,4,11
T1-AS-34,T1AS34,Level 1,4,13
T1-AS-33,T1AS33,Level 1,4,14
T1-AR-34,T1AR34,Level 1,4,16
T1-AR-33,T1AR33,Level 1,4,17
T1-AQ-34,T1AQ34,Level 1,4,19
T1-AQ-33,T1AQ33,Level 1,4,20
T1-AP-34,T1AP34,Level 1,4,22
T1-AP-33,T1AP33,Level 1,4,23
T1-AO-34,T1AO34,Level 1,4,25
T1-AO-33,T1AO33,Level 1,4,26
T1-AN-34,T1AN34,Level 1,4,28
T1-AN-33,T1AN33,Level 1,4,29
T1-AM-34,T1AM34,Level 1,4,31
T1-AM-33,T1AM33,Level 1,4,32
T1-AL-34,T1AL34,Level 1,4,34
T1-AL-33,T1AL33,Level 1,4,35
T1-AK-34,T1AK34,Level 1,4,37
T1-AK-33,T1AK33,Level 1,4,38
T1-AJ-34,T1AJ34,Level 1,4,40
T1-AJ-33,T1AJ33,Level 1,4,41
T1-AI-34,T1AI34,Level 1,4,43
T1-AI-33,T1AI33,Level 1,4,44
T1-AH-34,T1AH34,Level 1,4,46
T1-AH-33,T1AH33,Level 1,4,47
T1-AG-34,T1AG34,Level 1,4,49
T1-AG-33,T1AG33,Level 1,4,50
T1-AF-34,T1AF34,Level 1,4,52
T1-AF-33,T1AF33,Level 1,4,53
T1-AE-34,T1AE34,Level 1,4,55
T1-AE-33,T1AE33,Level 1,4,56
T1-AD-34,T1AD34,Level 1,4,58
T1-AD-33,T1AD33,Level 1,4,59
T1-AC-34,T1AC34,Level 1,4,61
T1-AC-33,T1AC33,Level 1,4,62
T1-AB-34,T1AB34,Level 1,4,64
T1-AB-33,T1AB33,Level 1,4,65
T1-AA-34,T1AA34,Level 1,4,67
T1-AA-33,T1AA33,Level 1,4,68
T1-Z-34,T1Z34,Level 1,4,70
T1-W-33,T1W33,Level 1,4,80
T1-V-34,T1V34,Level 1,4,82
T1-V-33,T1V33,Level 1,4,83
T1-U-34,T1U34,Level 1,4,85
T1-U-33,T1U33,Level 1,4,86
T1-T-34,T1T34,Level 1,4,88
T1-T-33,T1T33,Level 1,4,89
T1-S-34,T1S34,Level 1,4,91
T1-S-33,T1S33,Level 1,4,92
T1-R-34,T1R34,Level 1,4,94
T1-R-33,T1R33,Level 1,4,95
T1-Q-34,T1Q34,Level 1,4,97
T1-Q-33,T1Q33,Level 1,4,98
T1-P-34,T1P34,Level 1,4,100
T1-P-33,T1P33,Level 1,4,101
T1-O-34,T1O34,Level 1,4,103
T1-O-33,T1O33,Level 1,4,104
T1-N-34,T1N34,Level 1,4,106
T1-N-33,T1N33,Level 1,4,107
T1-M-34,T1M34,Level 1,4,109
T1-M-33,T1M33,Level 1,4,110
T1-L-34,T1L34,Level 1,4,112
T1-L-33,T1L33,Level 1,4,113
T1-K-34,T1K34,Level 1,4,115
T1-K-33,T1K33,Level 1,4,116
T1-J-34,T1J34,Level 1,4,118
T1-J-33,T1J33,Level 1,4,119
T1-I-34,T1I34,Level 1,4,121
T1-I-33,T1I33,Level 1,4,122
T1-H-34,T1H34,Level 1,4,124
T1-H-33,T1H33,Level 1,4,125
T1-G-34,T1G34,Level 1,4,127
T1-G-33,T1G33,Level 1,4,128
T1-F-34,T1F34,Level 1,4,130
T1-F-33,T1F33,Level 1,4,131
T1-E-34,T1E34,Level 1,4,133
T1-E-33,T1E33,Level 1,4,134
T1-D-34,T1D34,Level 1,4,136
T1-D-33,T1D33,Level 1,4,137
T1-C-34,T1C34,Level 1,4,139
T1-C-33,T1C33,Level 1,4,140
T1-B-33,T1B33,Level 1,4,143
T1-A-34,T1A34,Level 1,4,145
T1-A-33,T1A33,Level 1,4,146
T1-AU-32,T1AU32,Level 1,5,7
T1-AU-31,T1AU31,Level 1,5,8
T1-AT-32,T1AT32,Level 1,5,10
T1-AU-31,T1AU31,Level 1,5,11
T1-AS-32,T1AS32,Level 1,5,13
T1-AS-31,T1AS31,Level 1,5,14
T1-AR-32,T1AR32,Level 1,5,16
T1-AR-31,T1AR31,Level 1,5,17
T1-AQ-32,T1AQ32,Level 1,5,19
T1-AQ-31,T1AQ31,Level 1,5,20
T1-AP-32,T1AP32,Level 1,5,22
T1-AP-31,T1AP31,Level 1,5,23
T1-AO-32,T1AO32,Level 1,5,25
T1-AO-31,T1AO31,Level 1,5,26
T1-AN-32,T1AN32,Level 1,5,28
T1-AN-31,T1AN31,Level 1,5,29
T1-AM-32,T1AM32,Level 1,5,31
T1-AM-31,T1AM31,Level 1,5,32
T1-AL-32,T1AL32,Level 1,5,34
T1-AL-31,T1AL31,Level 1,5,35
T1-AK-32,T1AK32,Level 1,5,37
T1-AK-31,T1AK31,Level 1,5,38
T1-AJ-32,T1AJ32,Level 1,5,40
T1-AJ-31,T1AJ31,Level 1,5,41
T1-AI-32,T1AI32,Level 1,5,43
T1-AI-31,T1AI31,Level 1,5,44
T1-AH-32,T1AH32,Level 1,5,46
T1-AH-31,T1AH31,Level 1,5,47
T1-AG-32,T1AG32,Level 1,5,49
T1-AG-31,T1AG31,Level 1,5,50
T1-AF-32,T1AF32,Level 1,5,52
