bay_name,grid_row,grid_col,level
PA1-7a,1,1,Level 1
PA1-7b,1,2,Level 1
PA3-7a,1,3,Level 1
PA3-7b,1,4,Level 1
PA5-7a,1,5,Level 1
PA5-7b,1,6,Level 1
PA7-7a,1,7,Level 1
PA7-7b,1,8,Level 1
PA9-7a,1,9,Level 1
PA9-7b,1,10,Level 1
PA11-7a,1,11,Level 1
PA11-7b,1,12,Level 1
PA13-7a,1,13,Level 1
PA13-7b,1,14,Level 1
PA15-7a,1,15,Level 1
PA15-7b,1,16,Level 1
PA17-7a,1,17,Level 1
PA17-7b,1,18,Level 1
PA19-7a,1,19,Level 1
PA19-7b,1,20,Level 1
PA21-7a,1,21,Level 1
PA21-7b,1,22,Level 1
PA23-7a,1,23,Level 1
PA23-7b,1,24,Level 1
PA25-7a,1,25,Level 1
PA25-7b,1,26,Level 1
PA27-7a,1,27,Level 1
PA27-7b,1,28,Level 1
PA29-7a,1,29,Level 1
PA29-7b,1,30,Level 1
PA31-7a,1,31,Level 1
PA31-7b,1,32,Level 1
PA33-7a,1,33,Level 1
PA33-7b,1,34,Level 1
PA35-7a,1,35,Level 1
PA35-7b,1,36,Level 1
PA37-7a,1,37,Level 1
PA37-7b,1,38,Level 1
PA39-7a,1,39,Level 1
PA39-7b,1,40,Level 1
PA41-7a,1,41,Level 1
PA41-7b,1,42,Level 1
PA43-7a,1,43,Level 1
PA43-7b,1,44,Level 1
PA45-7a,1,45,Level 1
PA45-7b,1,46,Level 1
PA47-7a,1,47,Level 1
PA47-7b,1,48,Level 1
PA49-7a,1,49,Level 1
PA49-7b,1,50,Level 1
PA51-7a,1,51,Level 1
PA51-7b,1,52,Level 1
PA53-7a,1,53,Level 1
PA53-7b,1,54,Level 1
PA55-7a,1,55,Level 1
PA55-7b,1,56,Level 1
PA57-7a,1,57,Level 1
PA57-7b,1,58,Level 1
PA59-7a,1,59,Level 1
PA59-7b,1,60,Level 1
PA61-7a,1,61,Level 1
PA61-7b,1,62,Level 1
PA63-7a,1,63,Level 1
PA63-7b,1,64,Level 1
PA65-7a,1,65,Level 1
PA65-7b,1,66,Level 1
PA67-7a,1,67,Level 1
PA67-7b,1,68,Level 1
PA69-7a,1,69,Level 1
PA69-7b,1,70,Level 1
PA71-7a,1,71,Level 1
PA71-7b,1,72,Level 1
PA73-7a,1,73,Level 1
PA73-7b,1,74,Level 1
PA75-7a,1,75,Level 1
PA75-7b,1,76,Level 1
PA77-7a,1,77,Level 1
PA77-7b,1,78,Level 1
PA79-7a,1,79,Level 1
PA79-7b,1,80,Level 1
PA81-7a,1,81,Level 1
PA81-7b,1,82,Level 1
PA83-7a,1,83,Level 1
PA83-7b,1,84,Level 1
PA85-7a,1,85,Level 1
PA85-7b,1,86,Level 1
