Bay_Name,Capacity_m3
T1-A-1 ,1.44
T1-A-10 ,1.44
T1-A-19 ,1.44
T1-A-20 ,1.44
T1-A-21 ,1.44
T1-A-22 ,1.44
T1-A-23 ,1.44
T1-A-24 ,1.44
T1-A-25 ,1.44
T1-A-26 ,1.44
T1-A-27 ,1.44
T1-A-28 ,1.44
T1-A-29 ,1.44
T1-A-3 ,1.44
T1-A-30 ,1.44
T1-A-31 ,1.44
T1-A-32 ,1.44
T1-A-33 ,1.44
T1-A-34 ,1.44
T1-A-35 ,1.44
T1-A-4 ,1.44
T1-A-5 ,1.44
T1-A-6 ,1.44
T1-A-7 ,1.44
T1-A-8 ,1.44
T1-A-9 ,1.44
T1-AA-10 ,2.88
T1-AA-11 ,2.88
T1-AA-12 ,2.88
T1-AA-13 ,2.88
T1-AA-14 ,2.88
T1-AA-15 ,2.88
T1-AA-16 ,2.88
T1-AA-17 ,2.88
T1-AA-18 ,2.88
T1-AA-19 ,2.88
T1-AA-20 ,2.88
T1-AA-21 ,2.88
T1-AA-22 ,2.88
T1-AA-23 ,2.88
T1-AA-24 ,2.88
T1-AA-25 ,2.88
T1-AA-26 ,2.88
T1-AA-27 ,2.88
T1-AA-28 ,2.88
T1-AA-29 ,2.88
T1-AA-3 ,2.88
T1-AA-30 ,2.88
T1-AA-31 ,2.88
T1-AA-32 ,2.88
T1-AA-33 ,2.88
T1-AA-34 ,2.88
T1-AA-4 ,2.88
T1-AA-5 ,2.88
T1-AA-6 ,2.88
T1-AA-7 ,2.88
T1-AA-8 ,2.88
T1-AA-9 ,2.88
T1-AB-10 ,2.88
T1-AB-11 ,2.88
T1-AB-12 ,2.88
T1-AB-13 ,2.88
T1-AB-14 ,2.88
T1-AB-15 ,2.88
T1-AB-16 ,2.88
T1-AB-17 ,2.88
T1-AB-18 ,2.88
T1-AB-19 ,2.88
T1-AB-20 ,2.88
T1-AB-21 ,2.88
T1-AB-22 ,2.88
T1-AB-23 ,2.88
T1-AB-24 ,2.88
T1-AB-25 ,2.88
T1-AB-26 ,2.88
T1-AB-27 ,2.88
T1-AB-28 ,2.88
T1-AB-29 ,2.88
T1-AB-3 ,2.88
T1-AB-30 ,2.88
T1-AB-31 ,2.88
T1-AB-32 ,2.88
T1-AB-33 ,2.88
T1-AB-34 ,2.88
T1-AB-4 ,2.88
T1-AB-5 ,2.88
T1-AB-6 ,2.88
T1-AB-7 ,2.88
T1-AB-8 ,2.88
T1-AB-9 ,2.88
T1-AC-10 ,2.88
T1-AC-11 ,2.88
T1-AC-12 ,2.88
T1-AC-13 ,2.88
T1-AC-14 ,2.88
T1-AC-15 ,2.88
T1-AC-16 ,2.88
T1-AC-17 ,2.88
T1-AC-18 ,2.88
T1-AC-19 ,2.88
T1-AC-20 ,2.88
T1-AC-21 ,2.88
T1-AC-22 ,2.88
T1-AC-23 ,2.88
T1-AC-24 ,2.88
T1-AC-25 ,2.88
T1-AC-26 ,2.88
T1-AC-27 ,2.88
T1-AC-28 ,2.88
T1-AC-29 ,2.88
T1-AC-3 ,2.88
T1-AC-30 ,2.88
T1-AC-31 ,2.88
T1-AC-32 ,2.88
T1-AC-33 ,2.88
T1-AC-34 ,2.88
T1-AC-4 ,2.88
T1-AC-5 ,2.88
T1-AC-6 ,2.88
T1-AC-7 ,2.88
T1-AC-8 ,2.88
T1-AC-9 ,2.88
T1-AD-10 ,2.88
T1-AD-11 ,2.88
T1-AD-12 ,2.88
T1-AD-13 ,2.88
T1-AD-14 ,2.88
T1-AD-15 ,2.88
T1-AD-16 ,2.88
T1-AD-17 ,2.88
T1-AD-18 ,2.88
T1-AD-19 ,2.88
T1-AD-20 ,2.88
T1-AD-21 ,2.88
T1-AD-22 ,2.88
T1-AD-23 ,2.88
T1-AD-24 ,2.88
T1-AD-25 ,2.88
T1-AD-26 ,2.88
T1-AD-27 ,2.88
T1-AD-28 ,2.88
T1-AD-29 ,2.88
T1-AD-3 ,2.88
T1-AD-30 ,2.88
T1-AD-31 ,2.88
T1-AD-32 ,2.88
T1-AD-33 ,2.88
T1-AD-34 ,2.88
T1-AD-4 ,2.88
T1-AD-5 ,2.88
T1-AD-6 ,2.88
T1-AD-7 ,2.88
T1-AD-8 ,2.88
T1-AD-9 ,2.88
T1-AE-10 ,2.88
T1-AE-11 ,2.88
T1-AE-12 ,2.88
T1-AE-13 ,2.88
T1-AE-14 ,2.88
T1-AE-15 ,2.88
T1-AE-16 ,2.88
T1-AE-17 ,2.88
T1-AE-18 ,2.88
T1-AE-19 ,2.88
T1-AE-20 ,2.88
T1-AE-21 ,2.88
T1-AE-22 ,2.88
T1-AE-23 ,2.88
T1-AE-24 ,2.88
T1-AE-25 ,2.88
T1-AE-26 ,2.88
T1-AE-27 ,2.88
T1-AE-28 ,2.88
T1-AE-29 ,2.88
T1-AE-3 ,2.88
T1-AE-30 ,2.88
T1-AE-31 ,2.88
T1-AE-32 ,2.88
T1-AE-33 ,2.88
T1-AE-34 ,2.88
T1-AE-4 ,2.88
T1-AE-5 ,2.88
T1-AE-6 ,2.88
T1-AE-7 ,2.88
T1-AE-8 ,2.88
T1-AE-9 ,2.88
T1-AF-10 ,2.88
T1-AF-11 ,2.88
T1-AF-12 ,2.88
T1-AF-13 ,2.88
T1-AF-14 ,2.88
T1-AF-15 ,2.88
T1-AF-16 ,2.88
T1-AF-17 ,2.88
T1-AF-18 ,2.88
T1-AF-19 ,2.88
T1-AF-20 ,2.88
T1-AF-21 ,2.88
T1-AF-22 ,2.88
T1-AF-23 ,2.88
T1-AF-24 ,2.88
T1-AF-25 ,2.88
T1-AF-26 ,2.88
T1-AF-27 ,2.88
T1-AF-28 ,2.88
T1-AF-29 ,2.88
T1-AF-3 ,2.88
T1-AF-30 ,2.88
T1-AF-31 ,2.88
T1-AF-32 ,2.88
T1-AF-33 ,2.88
T1-AF-34 ,2.88
T1-AF-4 ,2.88
T1-AF-5 ,2.88
T1-AF-6 ,2.88
T1-AF-7 ,2.88
T1-AF-8 ,2.88
T1-AF-9 ,2.88
T1-AG-10 ,2.88
T1-AG-11 ,2.88
T1-AG-12 ,2.88
T1-AG-13 ,2.88
T1-AG-14 ,2.88
T1-AG-15 ,2.88
T1-AG-16 ,2.88
T1-AG-17 ,2.88
T1-AG-18 ,2.88
T1-AG-19 ,2.88
T1-AG-20 ,2.88
T1-AG-21 ,2.88
T1-AG-22 ,2.88
T1-AG-23 ,2.88
T1-AG-24 ,2.88
T1-AG-25 ,2.88
T1-AG-26 ,2.88
T1-AG-27 ,2.88
T1-AG-28 ,2.88
T1-AG-29 ,2.88
T1-AG-3 ,2.88
T1-AG-30 ,2.88
T1-AG-31 ,2.88
T1-AG-32 ,2.88
T1-AG-33 ,2.88
T1-AG-34 ,2.88
T1-AG-4 ,2.88
T1-AG-5 ,2.88
T1-AG-6 ,2.88
T1-AG-7 ,2.88
T1-AG-8 ,2.88
T1-AG-9 ,2.88
T1-AH-10 ,2.88
T1-AH-11 ,2.88
T1-AH-12 ,2.88
T1-AH-13 ,2.88
T1-AH-14 ,2.88
T1-AH-15 ,2.88
T1-AH-16 ,2.88
T1-AH-17 ,2.88
T1-AH-18 ,2.88
T1-AH-19 ,2.88
T1-AH-20 ,2.88
T1-AH-21 ,2.88
T1-AH-22 ,2.88
T1-AH-23 ,2.88
T1-AH-24 ,2.88
T1-AH-25 ,2.88
T1-AH-26 ,2.88
T1-AH-27 ,2.88
T1-AH-28 ,2.88
T1-AH-29 ,2.88
T1-AH-3 ,2.88
T1-AH-30 ,2.88
T1-AH-31 ,2.88
T1-AH-32 ,2.88
T1-AH-33 ,2.88
T1-AH-34 ,2.88
T1-AH-4 ,2.88
T1-AH-5 ,2.88
T1-AH-6 ,2.88
T1-AH-7 ,2.88
T1-AH-8 ,2.88
T1-AH-9 ,2.88
T1-AI-10 ,2.88
T1-AI-11 ,2.88
T1-AI-12 ,2.88
T1-AI-13 ,2.88
T1-AI-14 ,2.88
T1-AI-15 ,2.88
T1-AI-16 ,2.88
T1-AI-17 ,2.88
T1-AI-18 ,2.88
T1-AI-19 ,2.88
T1-AI-2 ,2.88
T1-AI-20 ,2.88
T1-AI-21 ,2.88
T1-AI-22 ,2.88
T1-AI-23 ,2.88
T1-AI-24 ,2.88
T1-AI-25 ,2.88
T1-AI-26 ,2.88
T1-AI-27 ,2.88
T1-AI-28 ,2.88
T1-AI-29 ,2.88
T1-AI-3 ,2.88
T1-AI-30 ,2.88
T1-AI-31 ,2.88
T1-AI-32 ,2.88
T1-AI-33 ,2.88
T1-AI-34 ,2.88
T1-AI-4 ,2.88
T1-AI-5 ,2.88
T1-AI-6 ,2.88
T1-AI-7 ,2.88
T1-AI-8 ,2.88
T1-AI-9 ,2.88
T1-AJ-10 ,2.88
T1-AJ-11 ,2.88
T1-AJ-12 ,2.88
T1-AJ-13 ,2.88
T1-AJ-14 ,2.88
T1-AJ-15 ,2.88
T1-AJ-16 ,2.88
T1-AJ-17 ,2.88
T1-AJ-18 ,2.88
T1-AJ-19 ,2.88
T1-AJ-20 ,2.88
T1-AJ-21 ,2.88
T1-AJ-22 ,2.88
T1-AJ-23 ,2.88
T1-AJ-24 ,2.88
T1-AJ-25 ,2.88
T1-AJ-26 ,2.88
T1-AJ-27 ,2.88
T1-AJ-28 ,2.88
T1-AJ-29 ,2.88
T1-AJ-30 ,2.88
T1-AJ-31 ,2.88
T1-AJ-32 ,2.88
T1-AJ-33 ,2.88
T1-AJ-34 ,2.88
T1-AJ-9 ,2.88
T1-AK-10 ,2.88
T1-AK-11 ,2.88
T1-AK-12 ,2.88
T1-AK-13 ,2.88
T1-AK-14 ,2.88
T1-AK-15 ,2.88
T1-AK-16 ,2.88
T1-AK-17 ,2.88
T1-AK-18 ,2.88
T1-AK-19 ,2.88
T1-AK-20 ,2.88
T1-AK-21 ,2.88
T1-AK-22 ,2.88
T1-AK-23 ,2.88
T1-AK-24 ,2.88
T1-AK-25 ,2.88
T1-AK-26 ,2.88
T1-AK-27 ,2.88
T1-AK-28 ,2.88
T1-AK-29 ,2.88
T1-AK-30 ,2.88
T1-AK-31 ,2.88
T1-AK-32 ,2.88
T1-AK-33 ,2.88
T1-AK-34 ,2.88
T1-AK-9 ,2.88
T1-AL-11 ,2.88
T1-AL-13 ,2.88
T1-AL-15 ,2.88
T1-AL-17 ,2.88
T1-AL-19 ,2.88
T1-AL-20 ,2.88
T1-AL-21 ,2.88
T1-AL-22 ,2.88
T1-AL-23 ,2.88
T1-AL-24 ,2.88
T1-AL-25 ,2.88
T1-AL-26 ,2.88
T1-AL-27 ,2.88
T1-AL-28 ,2.88
T1-AL-29 ,2.88
T1-AL-30 ,2.88
T1-AL-31 ,2.88
T1-AL-32 ,2.88
T1-AL-33 ,2.88
T1-AL-34 ,2.88
T1-AL-9 ,2.88
T1-AM-16 ,2.88
T1-AM-18 ,2.88
T1-AM-20 ,2.88
T1-AM-21 ,2.88
T1-AM-22 ,2.88
T1-AM-23 ,2.88
T1-AM-24 ,2.88
T1-AM-25 ,2.88
T1-AM-26 ,2.88
T1-AM-27 ,2.88
T1-AM-28 ,2.88
T1-AM-29 ,2.88
T1-AM-30 ,2.88
T1-AM-31 ,2.88
T1-AM-32 ,2.88
T1-AM-33 ,2.88
T1-AM-34 ,2.88
T1-AN-12 ,2.88
T1-AN-14 ,2.88
T1-AN-15 ,2.88
T1-AN-16 ,2.88
T1-AN-17 ,2.88
T1-AN-18 ,2.88
T1-AN-19 ,2.88
T1-AN-20 ,2.88
T1-AN-21 ,2.88
T1-AN-22 ,2.88
T1-AN-23 ,2.88
T1-AN-24 ,2.88
T1-AN-25 ,2.88
T1-AN-26 ,2.88
T1-AN-27 ,2.88
T1-AN-28 ,2.88
T1-AN-29 ,2.88
T1-AN-30 ,2.88
T1-AN-31 ,2.88
T1-AN-32 ,2.88
T1-AN-33 ,2.88
T1-AN-34 ,2.88
T1-AO-11 ,2.88
T1-AO-12 ,2.88
T1-AO-13 ,2.88
T1-AO-14 ,2.88
T1-AO-15 ,2.88
T1-AO-16 ,2.88
T1-AO-17 ,2.88
T1-AO-18 ,2.88
T1-AO-19 ,2.88
T1-AO-20 ,2.88
T1-AO-21 ,2.88
T1-AO-22 ,2.88
T1-AO-23 ,2.88
T1-AO-24 ,2.88
T1-AO-25 ,2.88
T1-AO-26 ,2.88
T1-AO-27 ,2.88
T1-AO-28 ,2.88
T1-AO-29 ,2.88
T1-AO-30 ,2.88
T1-AO-31 ,2.88
T1-AO-32 ,2.88
T1-AO-33 ,2.88
T1-AO-34 ,2.88
T1-AP-11 ,2.88
T1-AP-12 ,2.88
T1-AP-13 ,2.88
T1-AP-14 ,2.88
T1-AP-15 ,2.88
T1-AP-16 ,2.88
T1-AP-17 ,2.88
T1-AP-18 ,2.88
T1-AP-19 ,2.88
T1-AP-20 ,2.88
T1-AP-21 ,2.88
T1-AP-22 ,2.88
T1-AP-23 ,2.88
T1-AP-24 ,2.88
T1-AP-25 ,2.88
T1-AP-26 ,2.88
T1-AP-27 ,2.88
T1-AP-28 ,2.88
T1-AP-29 ,2.88
T1-AP-30 ,2.88
T1-AP-31 ,2.88
T1-AP-32 ,2.88
T1-AP-33 ,2.88
T1-AP-34 ,2.88
T1-AQ-11 ,2.88
T1-AQ-12 ,2.88
T1-AQ-13 ,2.88
T1-AQ-14 ,2.88
T1-AQ-15 ,2.88
T1-AQ-16 ,2.88
T1-AQ-17 ,2.88
T1-AQ-18 ,2.88
T1-AQ-19 ,2.88
T1-AQ-20 ,2.88
T1-AQ-21 ,2.88
T1-AQ-22 ,2.88
T1-AQ-23 ,2.88
T1-AQ-24 ,2.88
T1-AQ-25 ,2.88
T1-AQ-26 ,2.88
T1-AQ-27 ,2.88
T1-AQ-28 ,2.88
T1-AQ-29 ,2.88
T1-AQ-30 ,2.88
T1-AQ-31 ,2.88
T1-AQ-32 ,2.88
T1-AQ-33 ,2.88
T1-AQ-34 ,2.88
T1-AR-11 ,2.88
T1-AR-12 ,2.88
T1-AR-13 ,2.88
T1-AR-14 ,2.88
T1-AR-15 ,2.88
T1-AR-16 ,2.88
T1-AR-17 ,2.88
T1-AR-18 ,2.88
T1-AR-19 ,2.88
T1-AR-20 ,2.88
T1-AR-21 ,2.88
T1-AR-22 ,2.88
T1-AR-23 ,2.88
T1-AR-24 ,2.88
T1-AR-25 ,2.88
T1-AR-26 ,2.88
T1-AR-27 ,2.88
T1-AR-28 ,2.88
T1-AR-29 ,2.88
T1-AR-30 ,2.88
T1-AR-31 ,2.88
T1-AR-32 ,2.88
T1-AR-33 ,2.88
T1-AR-34 ,2.88
T1-AS-11 ,2.88
T1-AS-12 ,2.88
T1-AS-13 ,2.88
T1-AS-14 ,2.88
T1-AS-15 ,2.88
T1-AS-16 ,2.88
T1-AS-17 ,2.88
T1-AS-18 ,2.88
T1-AS-19 ,2.88
T1-AS-20 ,2.88
T1-AS-21 ,2.88
T1-AS-22 ,2.88
T1-AS-23 ,2.88
T1-AS-24 ,2.88
T1-AS-25 ,2.88
T1-AS-26 ,2.88
T1-AS-27 ,2.88
T1-AS-28 ,2.88
T1-AS-29 ,2.88
T1-AS-30 ,2.88
T1-AS-31 ,2.88
T1-AS-32 ,2.88
T1-AS-33 ,2.88
T1-AS-34 ,2.88
T1-AT-11 ,2.88
T1-AT-12 ,2.88
T1-AT-13 ,2.88
T1-AT-14 ,2.88
T1-AT-15 ,2.88
T1-AT-16 ,2.88
T1-AT-17 ,2.88
T1-AT-18 ,2.88
T1-AT-19 ,2.88
T1-AT-20 ,2.88
T1-AT-21 ,2.88
T1-AT-22 ,2.88
T1-AT-23 ,2.88
T1-AT-24 ,2.88
T1-AT-25 ,2.88
T1-AT-26 ,2.88
T1-AT-27 ,2.88
T1-AT-28 ,2.88
T1-AT-29 ,2.88
T1-AT-30 ,2.88
T1-AT-31 ,2.88
T1-AT-32 ,2.88
T1-AT-33 ,2.88
T1-AT-34 ,2.88
T1-AU-11 ,2.88
T1-AU-12 ,2.88
T1-AU-13 ,2.88
T1-AU-14 ,2.88
T1-AU-15 ,2.88
T1-AU-16 ,2.88
T1-AU-17 ,2.88
T1-AU-19 ,2.88
T1-AU-21 ,2.88
T1-AU-22 ,1.44
T1-AU-23 ,2.88
T1-AU-24 ,1.44
T1-AU-25 ,2.88
T1-AU-26 ,1.44
T1-AU-27 ,2.88
T1-AU-28 ,1.44
T1-AU-29 ,2.88
T1-AU-30 ,1.44
T1-AU-31 ,2.88
T1-AU-32 ,1.44
T1-AU-33 ,2.88
T1-AU-34 ,1.44
T1-AU-36 ,1.44
T1-AV-11 ,2.88
T1-AV-12 ,2.88
T1-AV-13 ,2.88
T1-AV-14 ,2.88
T1-AV-15 ,2.88
T1-AV-16 ,2.88
T1-AW-10 ,1.44
T1-AW-11 ,2.88
T1-AW-12 ,1.44
T1-AW-13 ,2.88
T1-AW-14 ,1.44
T1-AW-15 ,2.88
T1-AW-16 ,1.44
T1-B-10 ,1.44
T1-B-19 ,1.44
T1-B-20 ,1.44
T1-B-21 ,1.44
T1-B-22 ,1.44
T1-B-23 ,1.44
T1-B-24 ,1.44
T1-B-25 ,1.44
T1-B-26 ,1.44
T1-B-27 ,1.44
T1-B-28 ,1.44
T1-B-29 ,1.44
T1-B-3 ,1.44
T1-B-30 ,1.44
T1-B-31 ,1.44
T1-B-33 ,1.44
T1-B-5 ,1.44
T1-B-7 ,1.44
T1-B-8 ,1.44
T1-B-9 ,1.44
T1-C-10 ,1.44
T1-C-19 ,1.44
T1-C-20 ,1.44
T1-C-21 ,1.44
T1-C-22 ,1.44
T1-C-23 ,1.44
T1-C-24 ,1.44
T1-C-25 ,1.44
T1-C-26 ,1.44
T1-C-27 ,1.44
T1-C-28 ,1.44
T1-C-29 ,1.44
T1-C-30 ,1.44
T1-C-32 ,1.44
T1-C-34 ,1.44
T1-C-4 ,1.44
T1-C-6 ,1.44
T1-C-7 ,1.44
T1-C-8 ,1.44
T1-C-9 ,1.44
T1-D-10 ,1.44
T1-D-12 ,1.44
T1-D-14 ,1.44
T1-D-16 ,1.44
